id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,0.825,0.6375,0.225,5.613201,2.0695135,1.587572,1.70097,6.0
1,M,1.525,1.125,0.3875,30.03629525,11.453198,6.30776375,9.2135875,11.0
2,I,0.775,0.5625,0.175,3.64291075,1.4458245,0.8788345,1.13398,6.0
3,F,1.3125,1.0125,0.3125,16.85377775,7.24329725,3.515338,5.10291,10.0
4,F,1.5,1.2125,0.475,32.16250775,14.92601175,7.52679225,8.9300925,13.0
5,F,1.5375,1.275,0.4125,32.13415825,15.025235,6.747181,8.9300925,10.0
6,M,1.5,1.25,0.4,31.808139,14.75591475,7.257472,8.9300925,9.0
7,M,1.4,1.1,0.3875,30.51823675,13.48018725,5.386405,6.87475375,11.0
8,I,0.4875,0.375,0.1125,1.13398,0.26932025,0.21262125,0.226796,6.0
9,F,1.3,1.0,0.3375,22.04173625,9.76640275,5.0745605,6.520385,8.0
10,F,1.4125,1.1375,0.4625,26.2232875,10.02154825,5.68407475,8.3631025,10.0
11,F,1.5,1.2,0.4375,32.545226,14.4298955,6.13766675,8.6465975,13.0
12,M,1.175,0.9375,0.3,12.74310025,5.556502,2.96252275,4.819415,13.0
13,I,0.6875,0.55,0.175,3.515338,1.34660125,0.5386405,0.9922325,7.0
14,F,1.425,1.1,0.3375,24.097075,10.77281,4.932813,7.15824875,8.0
15,M,1.5,1.2125,0.4,32.41765325,12.62970225,6.08096775,10.6310625,14.0
16,F,1.4875,1.25,0.4625,31.18445,12.54465375,6.42116175,9.2135875,14.0
17,I,1.0,0.7625,0.25,7.98038425,3.55786225,1.7293195,2.551455,7.0
18,F,1.5625,1.225,0.4375,37.32211675,16.0174675,7.81028725,9.07184,10.0
19,M,1.5125,1.1625,0.35,30.94347925,11.793392,5.25883225,9.355335,20.0
20,M,1.075,0.85,0.3125,13.05494475,5.65572525,2.70737725,4.2807745,10.0
21,F,1.2125,0.95,0.3375,17.08057375,7.3992195,4.01145425,5.2446575,10.0
22,F,1.1375,0.9,0.275,12.34620725,5.82582225,2.70737725,3.58621175,7.0
23,M,1.2875,0.9875,0.3125,18.75319425,8.6465975,4.60679375,5.386405,11.0
24,I,1.0125,0.75,0.2375,7.98038425,2.9199985,1.7293195,2.4097075,13.0
25,F,1.6125,1.2625,0.4625,35.0116325,17.916884,7.427569,8.50485,11.0
26,F,1.525,1.2125,0.425,30.71668325,14.5999925,5.99591925,8.51902475,9.0
27,I,1.025,0.8125,0.2625,10.2341695,4.932813,2.22543575,3.5436875,7.0
28,F,1.5125,1.25,0.375,32.545226,14.5432935,6.350288,10.489315,8.0
29,F,1.5625,1.225,0.4125,32.72949775,16.62698175,6.56290925,8.6465975,11.0
30,M,1.425,1.175,0.375,24.2955215,9.42620875,5.499803,6.80388,11.0
31,M,1.6375,1.2875,0.4875,40.25629,16.96717575,10.035723,10.489315,9.0
32,F,1.425,1.15,0.4125,31.6096925,10.87203325,6.8889285,9.2135875,17.0
33,F,1.6625,1.2875,0.4,36.457457,17.17562225,9.525432,9.7805775,11.0
34,I,0.7,0.6125,0.175,4.6209685,1.80019325,0.80796075,1.2757275,6.0
35,M,1.25,1.0,0.3875,20.05727125,6.78970525,5.59902625,5.2446575,10.0
36,M,1.3125,1.0125,0.3,18.313777,8.60407325,4.4508715,5.2446575,9.0
37,M,1.425,1.025,0.3375,22.849697,10.47514025,4.309124,6.87475375,9.0
38,F,1.5625,1.2125,0.4125,35.096681,15.705623,6.7755305,9.07184,8.0
39,I,0.9375,0.6875,0.2125,6.917278,3.061746,1.14815475,1.984465,8.0
40,I,0.75,0.575,0.2125,3.64291075,1.2190285,0.8788345,1.13398,5.0
41,I,1.3875,1.05,0.3625,21.885814,9.8372765,4.8477645,7.2291225,10.0
42,I,1.4125,1.0875,0.3875,26.308336,11.793392,5.0178615,7.087375,10.0
43,I,1.025,0.7875,0.25,9.28446125,4.63514325,1.85689225,2.6932025,7.0
44,M,1.5125,1.1875,0.375,31.127751,15.478827,7.3992195,8.221355,9.0
45,M,1.2875,0.975,0.3,20.19901875,9.015141,5.5281525,4.9611625,8.0
46,I,1.2625,1.0,0.3125,19.391058,9.68135425,4.06815325,5.273007,8.0
47,F,1.2875,1.0625,0.3625,19.1926115,9.31281075,4.01145425,5.5281525,9.0
48,F,1.475,1.15,0.3375,30.277266,11.07047975,6.67630725,8.09378225,13.0
49,M,1.1875,0.9125,0.325,13.45183775,5.23048275,3.10427025,4.1106775,9.0
50,F,1.25,0.95,0.325,18.597272,9.25611175,3.64291075,4.9611625,9.0
51,M,1.6375,1.25,0.45,38.82464025,16.68368075,9.00096625,10.999606,10.0
52,M,0.825,0.65,0.2125,3.96893,1.51669825,0.80796075,1.417475,6.0
53,F,1.575,1.2,0.4125,32.205032,14.27397325,7.44174375,8.9300925,15.0
54,I,1.3125,1.025,0.3125,18.46969925,6.27941425,5.0745605,6.6621325,13.0
55,I,0.8875,0.6625,0.225,6.3219385,3.78465825,1.587572,1.70097,6.0
56,M,1.2375,0.95,0.3375,17.36406875,7.55514175,4.025629,5.2446575,8.0
57,M,1.4375,1.0875,0.4625,26.365035,8.91591775,6.973977,8.0796075,21.0
58,F,1.6375,1.2875,0.5,40.49726075,16.8112535,9.7805775,11.90679,17.0
59,F,1.5875,1.2375,0.425,30.1922175,14.04717725,8.46232575,8.9300925,10.0
60,M,1.6,1.2875,0.4125,39.02308675,18.83824275,9.08601475,8.94426725,9.0
61,M,1.25,0.9375,0.3375,17.84601025,7.9095105,4.01145425,5.5281525,10.0
62,F,1.625,1.3,0.4,37.1094955,12.643877,8.32057825,11.623295,21.0
63,I,0.9,0.675,0.225,5.556502,2.324659,1.1056305,1.8427175,6.0
64,F,1.25,0.9875,0.35,21.8007655,8.845044,4.0539785,6.6621325,14.0
65,M,1.0375,0.775,0.25,10.19164525,4.43669675,2.50893075,2.9766975,7.0
66,I,0.9125,0.675,0.2125,6.180191,2.82077525,1.11980525,1.984465,7.0
67,F,1.5625,1.225,0.4125,31.18445,12.57300325,6.8322295,9.07184,15.0
68,F,1.525,1.175,0.4125,31.3261975,11.43902325,6.860579,11.056305,13.0
69,M,1.475,1.0875,0.3875,24.720764,11.09882925,5.499803,6.80388,9.0
70,I,0.6375,0.45,0.2,2.381358,0.963883,0.396893,0.7087375,5.0
71,F,1.3375,1.075,0.3375,24.28134675,10.9712565,4.7910655,7.7961125,8.0
72,I,1.0,0.7875,0.3,10.19164525,4.4508715,2.08368825,2.9766975,7.0
73,F,0.925,0.6875,0.25,7.49844275,3.18931875,1.51669825,2.56562975,6.0
74,F,1.3625,1.025,0.3375,19.674553,7.29999625,4.01145425,5.5281525,10.0
75,F,1.75,1.4375,0.5375,56.1603595,23.54425975,11.49572225,16.556108,12.0
76,I,1.0875,0.825,0.275,10.6877615,4.57844425,2.4097075,3.8271825,7.0
77,F,1.2125,0.9375,0.325,14.5999925,6.690482,2.9766975,4.9611625,9.0
78,I,1.0125,0.7875,0.25,9.19941275,4.06815325,1.7293195,2.664853,8.0
79,M,1.6,1.2125,0.4125,29.1149365,12.133586,6.78970525,8.9300925,11.0
80,I,1.4875,1.1125,0.3875,27.25804425,10.30504325,6.066793,8.0796075,12.0
81,M,1.5875,1.2625,0.4625,35.4652245,16.726205,8.0229085,9.4970825,12.0
82,F,1.8,1.4375,0.4625,58.10230025,28.22192725,10.602713,14.17475,12.0
83,I,1.3875,1.0625,0.35,21.58814425,9.2702865,4.5075705,6.0951425,10.0
84,M,1.5625,1.1875,0.5,38.00250475,16.0741665,8.278054,9.922325,10.0
85,M,1.5375,1.225,0.4,31.581343,12.94154675,7.78193775,8.221355,11.0
86,I,1.1375,0.8375,0.2625,13.39513875,6.747181,3.572037,3.572037,9.0
87,M,1.525,1.1875,0.4875,42.297454,12.37455675,9.31281075,14.17475,16.0
88,M,1.5,1.25,0.45,34.189497,14.67086625,6.917278,8.7599955,10.0
89,M,1.4125,1.15,0.375,26.138239,11.01378075,5.2446575,8.788345,9.0
90,M,1.4375,1.0875,0.3875,26.15241375,9.298636,5.329706,7.087375,11.0
91,M,1.5625,1.175,0.425,31.31202275,15.52135125,6.0951425,8.221355,10.0
92,M,1.45,1.1625,0.375,31.59551775,11.94931425,6.4353365,9.63883,13.0
93,I,1.2,0.975,0.3125,16.499409,7.3992195,3.98310475,3.98310475,9.0
94,I,1.225,0.9625,0.3125,19.17843675,8.3631025,3.9405805,5.10291,9.0
95,I,0.875,0.6875,0.225,3.55786225,1.984465,0.75126175,1.417475,5.0
96,I,1.3,1.0,0.3125,17.30736975,8.164656,4.819415,5.2446575,8.0
97,M,1.6125,1.2375,0.4125,36.51318975,14.6566915,8.49067525,9.7805775,11.0
98,I,1.3875,1.05,0.3375,19.15008725,8.50485,4.37999775,5.6699,9.0
99,I,1.3125,1.025,0.325,20.28406725,7.10154975,3.7137845,5.5281525,19.0
100,I,0.6125,0.45,0.1625,1.80019325,0.69456275,0.396893,0.56699,5.0
101,M,1.625,1.3,0.4375,37.1094955,17.81766075,7.9095105,11.7083435,10.0
102,I,0.775,0.5625,0.175,4.40834725,1.91359125,1.020582,1.2757275,7.0
103,M,1.425,1.075,0.3875,28.91649,12.40290625,6.50621025,8.788345,10.0
104,M,1.1625,0.8875,0.275,13.53688625,6.0384435,2.721552,3.96893,7.0
105,I,0.95,0.7125,0.2625,7.2858215,3.75630875,1.4458245,2.1262125,8.0
106,F,1.225,0.95,0.3125,16.1308655,6.81805475,3.27436725,5.2446575,10.0
107,I,1.1,0.8375,0.2625,9.8372765,4.46504625,2.22543575,2.9766975,8.0
108,I,0.8,0.5375,0.2125,3.89805625,1.71514475,0.8788345,1.2757275,6.0
109,F,1.3125,1.025,0.375,20.3265915,8.1930055,4.309124,6.0951425,10.0
110,F,1.6125,1.275,0.4,38.96638775,18.83824275,8.09378225,11.01378075,11.0
111,M,1.4625,1.15,0.4625,25.3161035,11.94931425,6.3786375,7.49844275,9.0
112,I,0.75,0.575,0.1875,3.01922175,1.5025235,0.75126175,1.03475675,6.0
113,F,1.1,0.9,0.3125,14.5999925,5.96756975,2.84912475,4.9611625,9.0
114,F,1.5875,1.25,0.4125,36.3724085,17.08057375,9.015141,8.9300925,10.0
115,I,0.8125,0.625,0.175,5.556502,2.19708625,0.86465975,1.417475,5.0
116,I,1.2125,0.8875,0.3,15.35125425,7.540967,2.90582375,3.855532,8.0
117,F,1.25,1.0,0.3125,18.75319425,7.314171,3.86970675,5.10291,9.0
118,F,1.55,1.225,0.4,28.36367475,12.8990225,6.9456275,7.5126175,10.0
119,I,1.3375,1.0,0.425,22.55202725,8.278054,5.93922025,6.19436575,14.0
120,M,1.4,1.1,0.3625,26.1098895,12.3320325,5.71242425,8.3631025,11.0
121,I,0.95,0.725,0.2375,7.75358825,3.18931875,1.77184375,2.4097075,7.0
122,F,1.1625,0.8875,0.2625,12.2753335,5.953395,2.93417325,3.40194,8.0
123,M,1.325,1.0875,0.35,19.901349,8.66077225,3.8838815,6.23689,10.0
124,F,1.6125,1.2,0.4,31.127751,13.13999325,6.67630725,8.9300925,11.0
125,I,1.15,0.85,0.25,11.80756675,5.2446575,2.3530085,3.118445,6.0
126,M,1.375,1.075,0.3625,26.32251075,10.61688775,4.5642695,6.23689,9.0
127,M,1.5875,1.25,0.4125,36.69842775,17.78931125,7.04485075,10.0640725,11.0
128,F,1.2,1.0,0.3125,19.674553,9.015141,3.8838815,5.386405,9.0
129,I,1.15,0.8625,0.3,11.1413535,4.2807745,3.0333965,3.2601925,8.0
130,M,1.7,1.375,0.5,50.56133325,23.926978,10.4042665,12.190285,9.0
131,M,1.3,1.0375,0.375,21.3471735,9.07184,4.8477645,6.23689,8.0
132,F,1.4,1.1,0.4,25.16018125,9.6671795,5.783298,7.37087,9.0
133,M,1.5,1.2,0.4125,35.777069,14.10387625,8.901743,9.7805775,12.0
134,M,1.4875,1.2,0.4125,31.75144,12.133586,6.25106475,8.50485,15.0
135,I,1.4125,1.1625,0.3875,27.00289875,9.7805775,4.989512,9.7805775,13.0
136,I,1.0,0.75,0.225,7.55514175,3.005047,1.1056305,2.4097075,7.0
137,M,1.375,1.0875,0.3875,24.323871,10.6877615,5.00368675,9.07184,12.0
138,F,1.4875,1.1625,0.3625,29.48348,13.19669225,7.55514175,7.93786,10.0
139,F,1.7,1.3125,0.475,42.354153,18.21455375,10.7444605,10.489315,8.0
140,I,0.725,0.525,0.1875,2.891649,1.474174,0.5386405,0.9922325,5.0
141,I,1.1875,0.925,0.2625,16.85377775,6.13766675,3.685435,5.2446575,9.0
142,M,1.4125,1.1375,0.4,28.689694,12.5021295,7.41339425,7.7961125,9.0
143,M,1.575,1.225,0.3875,33.26813825,14.13222575,8.00873375,8.0796075,11.0
144,I,1.3,0.9875,0.3625,17.78931125,8.12213175,3.69960975,4.9611625,10.0
145,M,1.325,1.0625,0.325,21.318824,8.15048125,4.91863825,7.087375,18.0
146,F,1.3125,1.0125,0.3125,17.293195,8.164656,3.98310475,5.10291,8.0
147,I,1.425,1.1,0.4125,24.720764,9.31281075,5.40057975,7.37087,15.0
148,M,0.925,0.6875,0.2125,6.08096775,2.7499015,1.31825175,1.984465,6.0
149,F,1.6625,1.3125,0.45,35.02580725,16.4143605,9.015141,8.9300925,11.0
150,I,1.0375,0.775,0.275,10.2341695,4.422522,2.551455,2.9766975,8.0
151,I,0.9375,0.7125,0.2375,8.20718025,3.18931875,1.757669,2.6932025,7.0
152,F,1.5125,1.225,0.4,34.246196,14.38737125,7.27164675,9.7805775,11.0
153,I,0.725,0.525,0.2125,3.30271675,1.5025235,0.83631025,1.13398,5.0
154,I,1.1,0.8625,0.3,10.44679075,4.592619,2.3530085,3.5436875,8.0
155,F,1.65,1.3375,0.45,47.7689075,21.64484325,9.241937,11.90679,11.0
156,I,0.9625,0.7125,0.2375,9.19941275,3.458639,1.80019325,2.36718325,7.0
157,I,1.1625,0.9125,0.2875,18.01610725,9.34116025,4.025629,4.9611625,10.0
158,M,1.25,0.95,0.325,18.5689225,9.02931575,4.252425,5.2446575,7.0
159,F,1.575,1.2125,0.3875,30.8159065,13.39513875,5.8683465,8.9300925,11.0
160,F,1.625,1.3375,0.4875,45.40172425,15.01106025,9.48290775,13.04077,10.0
161,F,1.475,1.175,0.3875,33.57998275,13.1825175,6.67630725,9.7805775,11.0
162,M,1.5875,1.2,0.4,33.12639075,19.29183475,5.386405,6.87475375,9.0
163,F,1.4875,1.1875,0.375,29.86561925,13.62193475,6.3219385,8.6465975,9.0
164,F,1.6125,1.275,0.4375,36.7693015,16.4710595,7.767763,9.695529,11.0
165,F,1.55,1.225,0.4375,35.50774875,15.77649675,7.27164675,11.1980525,10.0
166,M,1.6125,1.2125,0.4,36.117263,16.045817,7.824462,9.63883,15.0
167,I,0.9125,0.675,0.2125,5.5281525,2.50893075,1.11980525,1.984465,6.0
168,M,1.7375,1.3125,0.5625,49.31395525,19.731252,11.90679,14.17475,16.0
169,I,0.8125,0.6,0.2,4.06815325,2.154562,0.83631025,1.417475,5.0
170,I,1.1,0.8875,0.2625,14.2030995,7.2291225,2.33883375,3.96893,8.0
171,I,1.025,0.775,0.2375,7.95203475,3.515338,1.9561155,2.551455,9.0
172,M,1.4125,1.125,0.4,24.777463,9.48290775,4.37999775,7.654365,12.0
173,F,1.675,1.3125,0.5125,51.7378375,23.6151335,11.226402,13.60776,11.0
174,F,1.5625,1.25,0.45,40.07201825,16.4710595,7.78193775,11.3398,13.0
175,I,0.5375,0.4,0.1375,1.8994165,0.7654365,0.35436875,0.4252425,4.0
176,F,0.975,0.725,0.25,7.58349125,3.16096925,1.7293195,2.1829115,11.0
177,I,0.8875,0.7,0.2125,6.33611325,2.59397925,1.77184375,2.1829115,7.0
178,M,1.675,1.2625,0.475,41.8863863,19.74542675,8.164656,10.3475675,11.0
179,M,1.225,0.925,0.325,15.71979775,6.293589,2.84912475,4.819415,9.0
180,M,1.5,1.175,0.3875,29.15746075,12.0485375,5.68407475,8.3631025,12.0
181,F,1.275,1.0,0.4,21.9708625,7.44174375,4.63514325,7.2291225,14.0
182,F,1.6,1.2375,0.4,31.28367325,14.72756525,6.4353365,8.9300925,12.0
183,M,1.4125,1.1,0.4,31.6096925,11.69416875,6.81805475,9.4970825,11.0
184,M,1.85,1.3875,0.55,63.389482,25.47202575,11.963489,16.59863225,11.0
185,I,0.9625,0.75,0.2125,7.98038425,3.2601925,1.7293195,2.26796,8.0
186,M,1.4875,1.1625,0.3125,27.6407625,11.3681495,5.88252125,7.37087,10.0
187,M,1.15,0.8875,0.325,14.75591475,5.68407475,3.3735905,4.6776675,9.0
188,F,1.575,1.275,0.475,38.88133925,18.5122235,9.8372765,10.0640725,9.0
189,I,1.1375,0.8875,0.275,14.69921575,7.144074,2.14038725,3.8271825,7.0
190,M,1.575,1.2625,0.425,34.7848365,12.85649825,6.42116175,10.489315,20.0
191,F,1.55,1.2625,0.425,36.173962,14.78426425,9.00096625,10.20582,12.0
192,F,1.6875,1.3125,0.4375,46.0889135,20.2131935,10.77281,11.7650425,14.0
193,M,1.5625,1.2375,0.4,36.967748,14.911837,9.525432,10.0640725,11.0
194,M,1.4375,1.125,0.3875,27.1304715,12.0485375,5.7549485,7.087375,8.0
195,I,1.3,1.0375,0.325,21.58814425,10.21999475,4.025629,5.5281525,8.0
196,M,1.4375,1.1625,0.4,26.777463,10.6310625,4.989512,7.93786,10.0
197,M,1.3,0.9875,0.3,17.02387475,7.540967,4.195726,5.8116475,9.0
198,F,1.675,1.3625,0.45,39.745999,18.32795175,8.29222875,10.3475675,11.0
199,I,1.3125,1.075,0.4125,20.97863,7.3992195,4.5075705,6.9456275,9.0
200,M,1.4125,1.1375,0.4125,30.4190135,12.00601325,4.74854125,9.07184,10.0
201,M,1.3625,1.05,0.4125,23.189891,8.12213175,4.37999775,7.2291225,16.0
202,I,0.8375,0.6625,0.2125,5.06038575,2.05533875,1.1056305,1.5592225,7.0
203,F,1.4125,1.1,0.4,26.12406425,11.18387775,5.71242425,8.3631025,10.0
204,I,1.1375,0.875,0.2875,12.757275,4.46504625,2.2963095,3.5436875,8.0
205,F,1.525,1.175,0.4,32.034935,15.52135125,6.2652395,8.9300925,13.0
206,I,1.15,0.875,0.25,11.2547515,5.74077375,2.59397925,3.5436875,7.0
207,I,0.6375,0.4625,0.1625,2.05533875,0.7654365,0.510291,0.7654365,6.0
208,M,0.9125,0.6875,0.225,6.08096775,2.721552,1.14815475,1.984465,9.0
209,M,1.3,1.025,0.375,19.9863975,6.0951425,4.309124,6.9456275,10.0
210,F,1.5875,1.2625,0.475,39.179009,15.7339725,8.66077225,10.489315,23.0
211,F,1.5125,1.225,0.425,29.18581025,12.0485375,7.52679225,8.6465975,14.0
212,M,1.475,1.1375,0.5375,34.189497,12.6155275,6.27941425,14.3164975,18.0
213,M,1.4875,1.15,0.375,25.61377325,11.94931425,5.08873525,7.93786,9.0
214,F,1.325,1.0625,0.375,22.169309,10.3475675,4.60679375,5.3580555,11.0
215,M,1.5875,1.2375,0.4875,38.612019,16.726205,7.41339425,10.489315,11.0
216,M,1.6625,1.3125,0.4875,50.8306535,22.69377475,11.38232425,11.623295,14.0
